Iterated HillClibing Results - function b

(100, (-2.084003263708734, -1.0246981490203562), 5543034234.8377075)
(100, (-2.34952983467501, -1.7700788597698505), 4491852676943.565)
(100, (-2.4893994310709413, -1.3343678750583248), 835756529369.8774)
(100, (-2.3700498403461308, 4.062658204752024), 8309013080.987882)
(100, (-1.6013735843770247, -2.4699057231609345), 3854754603479.325)
(100, (-2.2774798791226405, -2.0009835061412704), 13193854673981.93)
(100, (-2.082785442136718, -1.9359245289675646), 1806766793891.4568)
(100, (-1.994633600485664, -2.1187450082653045), 3651934198446.0234)
(100, (-1.548576107843971, -2.1375114533418693), 190494291187.5396)
(100, (-1.6444919961500872, -1.4082133993753123), 2262563792.9780145)
