HillClibing Results - function b

(100, (3.4642070166892016, 1.0063776125358184), 72.7250306149423)
(100, (2.908359011346295, -2.475385828527779), 321055800.0543717)
(100, (1.6342859931382319, 3.164922858795618), 17.175168920912824)
(100, (0.4001504854585822, -0.8122276294097294), 5967.70327009519)
(100, (4.153219902470984, -0.9061492476327079), 731936.4493716246)
(100, (2.9671000856421568, -0.8346156581809225), 6142.372544925134)
(100, (4.385527419958187, 4.3936220063400935), 3839313.8240647516)
(100, (-2.355149800487907, -0.8818981099021411), 21765346565.17213)
(100, (-1.7508566292247856, 2.059178878057437), 337921.23827460024)
(100, (0.3328094920254839, 3.469344809464849), 296.76427544797093)
