Iterated HillClibing Results - function b

(100, (-2.468726198481705, -1.9395393544444903), 39910956894776.7)
(100, (-2.43594745268776, -1.6403355117591956), 3766057608605.0884)
(100, (-1.5509899975025, -1.6874260677678372), 7489280054.90379)
(100, (-2.384969007370405, -1.2058274346193327), 164134500150.59204)
(100, (-1.1015029543979076, -2.4542477401734466), 160144163887.173)
(100, (-2.1704590427504535, -1.5691766027367997), 280858281300.4587)
(100, (-1.6868794008346228, -2.150256943985296), 526005649996.5972)
(100, (-0.9866190067909678, -2.368516225043118), 42124406716.968155)
(100, (-2.5384396938048037, -0.9967193277363485), 182463018516.06088)
(100, (-1.873894007831425, -2.31107790006441), 6845492210771.51)
