Simulated Annealing Results - function a

(100, 0.8979742410382068, 0.3352624520846237)
(100, 0.4999368030291675, 0.7605203884666574)
(100, 0.2995831071698749, 0.9339778758062132)
(100, 0.6988298652472437, 0.5407795541364862)
(100, 0.1000341571287623, 0.9999991343814891)
(100, 0.2993641024920537, 0.9339581317761879)
(100, 0.3048042262884058, 0.9149477037030272)
(100, 0.49891276400113677, 0.7609220414056039)
(100, 0.5006949456518589, 0.759461422691918)
(100, 0.4959803177460782, 0.755535710288902)
