Simulated Annealing Results - function a

(100, 0.34181733897898153, 0.22314751597414903)
(100, 0.060559912158855964, 0.29046057438164846)
(100, 0.3400629504883852, 0.2529509187118933)
(100, 0.28654294158810495, 0.8231515303014243)
(100, 0.8526527359180296, 0.06025957994808793)
(100, 0.5205095713361453, 0.5381890844835965)
(100, 0.08261473976943978, 0.796853620960254)
(100, 0.5586818512568469, 0.03401004570177521)
(100, 0.5341097853641159, 0.29275373715651254)
(100, 0.946294630495394, 0.05101770652411484)
